run_id,window_start,window_end,window_seconds,request_rate,error_rate,success_rate,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,publish_rate,publish_error_rate,publish_latency_mean_ms,orders_created_rate
run_a,2026-08-31T16:00:33.781641+00:00,2026-08-31T16:00:43.870973+00:00,10.089,2.9734374450954113,0.0,1.0,3.533333333333333,2.5,4.5,4.75,2.9734374450954113,0.0,1.8631166817309956,2.9734374450954113
run_a,2026-08-31T16:00:43.870973+00:00,2026-08-31T16:00:53.947056+00:00,10.076,2.87810248014796,0.0,1.0,3.103448275862069,2.5,4.5,4.75,2.87810248014796,0.0,1.7837379248170504,2.87810248014796
run_a,2026-08-31T16:00:53.947056+00:00,2026-08-31T16:01:04.038096+00:00,10.091,2.9729345060523253,0.0,1.0,3.6333333333333333,2.5,4.5,4.75,2.9729345060523253,0.0,1.8310199996146064,2.9729345060523253
run_a,2026-08-31T16:01:04.038096+00:00,2026-08-31T16:01:14.084220+00:00,10.046,2.8866853888359354,0.0,1.0,3.0344827586206895,2.5,4.5,4.75,2.8866853888359354,0.0,1.5920517275687949,2.8866853888359354
run_a,2026-08-31T16:01:14.084220+00:00,2026-08-31T16:01:24.138558+00:00,10.054,2.8843272861686677,0.0,1.0,3.0689655172413794,2.5,4.5,4.75,2.8843272861686677,0.0,1.6360620743241803,2.8843272861686677
run_a,2026-08-31T16:01:24.138558+00:00,2026-08-31T16:01:34.198555+00:00,10.06,2.88270447692373,0.0,1.0,3.5517241379310347,2.5892857142857144,4.660714285714286,4.919642857142857,2.88270447692373,0.0,1.8025517367340367,2.88270447692373
run_a,2026-08-31T16:01:48.328477+00:00,2026-08-31T16:01:58.671697+00:00,10.343,2.9004507313057175,0.0,1.0,411.2,375.0,475.0,487.5,2.9004507313057175,0.0,1.9148999902730186,2.9004507313057175
run_a,2026-08-31T16:01:58.671697+00:00,2026-08-31T16:02:08.757792+00:00,10.086,2.974392225631791,0.0,1.0,410.6,375.0,475.0,487.5,2.974392225631791,0.0,1.770186653205504,2.974392225631791
run_a,2026-08-31T16:02:08.757792+00:00,2026-08-31T16:02:18.819229+00:00,10.061,2.882292025023456,0.0,1.0,409.17241379310343,375.0,475.0,487.5,2.882292025023456,0.0,1.862296545556907,2.882292025023456
run_a,2026-08-31T16:02:18.819229+00:00,2026-08-31T16:02:29.143701+00:00,10.324,2.9057175467148224,0.0,1.0,410.0,375.0,475.0,487.5,2.9057175467148224,0.0,1.6346733279836674,2.9057175467148224
run_a,2026-08-31T16:02:29.143701+00:00,2026-08-31T16:02:39.484192+00:00,10.34,2.901216250558378,0.0,1.0,409.03333333333336,375.0,475.0,487.5,2.901216250558378,0.0,1.8316366476938128,2.901216250558378
run_a,2026-08-31T16:02:39.484192+00:00,2026-08-31T16:02:49.563518+00:00,10.079,2.9763893067800553,0.0,1.0,409.1,375.0,475.0,487.5,2.9763893067800553,0.0,1.8170733354054391,2.9763893067800553
run_a,2026-08-31T16:03:03.906832+00:00,2026-08-31T16:03:14.001462+00:00,10.095,2.971877266255306,0.0,1.0,3.3,2.5,4.5,4.75,2.971877266255306,0.0,1.7530666703047852,2.971877266255306
run_a,2026-08-31T16:03:14.001462+00:00,2026-08-31T16:03:24.084165+00:00,10.083,2.8762128244171272,0.0,1.0,3.1724137931034484,2.5,4.5,4.75,2.8762128244171272,0.0,1.749341388168777,2.8762128244171272
run_a,2026-08-31T16:03:24.084165+00:00,2026-08-31T16:03:34.157018+00:00,10.073,2.879025342585835,0.0,1.0,3.310344827586207,2.5,4.5,4.75,2.879025342585835,0.0,1.8416344718044173,2.879025342585835
run_a,2026-08-31T16:03:34.157018+00:00,2026-08-31T16:03:44.238375+00:00,10.081,2.9757898657174597,0.0,1.0,3.2,2.5,4.5,4.75,2.9757898657174597,0.0,1.7582566671383877,2.9757898657174597
run_a,2026-08-31T16:03:44.238375+00:00,2026-08-31T16:03:54.320508+00:00,10.082,2.8763753137360837,0.0,1.0,3.310344827586207,2.5,4.5,4.75,2.8763753137360837,0.0,1.8243517341284916,2.8763753137360837
run_a,2026-08-31T16:03:54.320508+00:00,2026-08-31T16:04:04.397171+00:00,10.077,2.977176281276629,0.0,1.0,3.2666666666666666,2.5,4.5,4.75,2.977176281276629,0.0,1.7765266898398597,2.977176281276629
run_a,2026-08-31T16:04:18.710721+00:00,2026-08-31T16:04:28.767311+00:00,10.057,2.9831185791408545,0.23333333333333334,0.7666666666666667,2.7,2.5,4.5,4.75,2.2870575773413218,0.0,1.5596260832946585,2.2870575773413218
run_a,2026-08-31T16:04:28.767311+00:00,2026-08-31T16:04:38.814837+00:00,10.048,2.886282686752988,0.2413793103448276,0.7586206896551724,2.793103448275862,2.5,4.5,4.75,2.1895937623643356,0.0,1.595040904993022,2.1895937623643356
run_a,2026-08-31T16:04:38.814837+00:00,2026-08-31T16:04:48.875548+00:00,10.061,2.8824999439542673,0.27586206896551724,0.7241379310344828,2.8275862068965516,2.5,4.5,4.75,2.0873275456220557,0.0,1.595357139151366,2.0873275456220557
run_a,2026-08-31T16:04:48.875548+00:00,2026-08-31T16:04:58.929698+00:00,10.054,2.983842674152592,0.23333333333333334,0.7666666666666667,2.9,2.5,4.5,4.75,2.2876127168503206,0.0,1.6734261096090726,2.2876127168503206
run_a,2026-08-31T16:04:58.929698+00:00,2026-08-31T16:05:08.984369+00:00,10.055,2.8842316032351722,0.27586206896551724,0.7241379310344828,2.7241379310344827,2.5,4.5,4.75,2.088581505790987,0.0,1.5932857114378185,2.088581505790987
run_a,2026-08-31T16:05:08.984369+00:00,2026-08-31T16:05:19.032627+00:00,10.048,2.8860723043650025,0.1724137931034483,0.8275862068965517,2.8275862068965516,2.5,4.5,4.75,2.388473631198623,0.0,1.6404416577036802,2.388473631198623
run_a,2026-08-31T16:05:33.122037+00:00,2026-08-31T16:05:43.185068+00:00,10.063,2.9812090117913645,0.0,1.0,3.033333333333333,2.5,4.5,4.75,2.9812090117913645,0.0,1.5930099878460169,2.9812090117913645
run_a,2026-08-31T16:05:43.185068+00:00,2026-08-31T16:05:53.235152+00:00,10.05,2.8855480569913863,0.0,1.0,3.0,2.5,4.5,4.75,2.8855480569913863,0.0,1.6313655149384305,2.8855480569913863
