run_id,window_start,window_end,window_seconds,request_rate,error_rate,success_rate,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,publish_rate,publish_error_rate,publish_latency_mean_ms,orders_created_rate
run_b,2026-08-31T16:30:26.479571+00:00,2026-08-31T16:30:36.540391+00:00,10.061,2.981864200219825,0.0,1.0,3.3666666666666667,2.5,4.5,4.75,2.981864200219825,0.0,1.8905899875486891,2.981864200219825
run_b,2026-08-31T16:30:36.540391+00:00,2026-08-31T16:30:46.629054+00:00,10.089,2.8745138062184123,0.0,1.0,3.2413793103448274,2.5,4.5,4.75,2.8745138062184123,0.0,1.861193112964774,2.8745138062184123
run_b,2026-08-31T16:30:46.629054+00:00,2026-08-31T16:30:56.696554+00:00,10.068,2.8805561443822607,0.0,1.0,3.2413793103448274,2.5,4.5,4.75,2.8805561443822607,0.0,1.8868517243014327,2.8805561443822607
run_b,2026-08-31T16:30:56.696554+00:00,2026-08-31T16:31:06.764296+00:00,10.068,2.9798140401161604,0.0,1.0,3.2,2.5,4.5,4.75,2.9798140401161604,0.0,1.849546659893046,2.9798140401161604
run_b,2026-08-31T16:31:06.764296+00:00,2026-08-31T16:31:16.832315+00:00,10.068,2.8804079157286115,0.0,1.0,3.1724137931034484,2.5,4.5,4.75,2.8804079157286115,0.0,1.8246206776078404,2.8804079157286115
run_b,2026-08-31T16:31:16.832315+00:00,2026-08-31T16:31:26.907878+00:00,10.076,2.878250948367789,0.0,1.0,3.1379310344827585,2.5,4.5,4.75,2.878250948367789,0.0,1.8206344925445215,2.878250948367789
run_b,2026-08-31T16:31:41.073961+00:00,2026-08-31T16:31:51.142167+00:00,10.068,2.9796767244819082,0.36666666666666664,0.6333333333333333,3.9,2.7777777777777777,5.0,7.5,2.9796767244819082,0.36666666666666664,1.1726099958953757,1.8871285921718752
run_b,2026-08-31T16:31:51.142167+00:00,2026-08-31T16:32:01.221197+00:00,10.079,2.8772610637874854,0.3448275862068966,0.6551724137931034,3.7241379310344827,2.5,4.5,4.75,2.8772610637874854,0.3448275862068966,1.1992206965605248,1.8851020762745592
run_b,2026-08-31T16:32:01.221197+00:00,2026-08-31T16:32:11.292708+00:00,10.072,2.8794089810898758,0.2413793103448276,0.7586206896551724,3.586206896551724,2.5,4.5,4.75,2.8794089810898758,0.2413793103448276,1.3945000125737539,2.184379227033699
run_b,2026-08-31T16:32:11.292708+00:00,2026-08-31T16:32:21.363174+00:00,10.07,2.879707770596642,0.2413793103448276,0.7586206896551724,3.689655172413793,2.5892857142857144,4.660714285714286,4.919642857142857,2.879707770596642,0.2413793103448276,1.3974207003825698,2.1846058949353835
